"week","game","home_team","away_team","home_base_epa","away_base_epa","home_adjusted_epa","away_adjusted_epa","net_home_advantage","projected_margin","estimated_pace","projected_total","weather_impact","is_dome","home_days_rest","away_days_rest","is_thursday","total_weather_adj","total_injury_adj","total_rest_adj","spread_lean","confidence","notes","prediction_type","matchup_key","model_line","actual_home_score","actual_away_score","actual_margin","actual_winner","actual_total","home_won","predicted_winner","correct_winner","margin_error","squared_error","prediction_bias","abs_projected","abs_actual","close_game","blowout","projected_close","has_confidence"
6,"ARI at IND","IND","ARI",0,0,0,0,0,1,62.5,45,0,FALSE,7,21,FALSE,0,0,-1.5,"Even matchup","VERY LOW","⚠️ Rest advantage","enhanced","ARI at IND",NA,31,27,4,"IND",58,TRUE,"IND",TRUE,3,9,-3,1,4,TRUE,FALSE,TRUE,TRUE
6,"SEA at JAX","JAX","SEA",0,0,0,0,0,1,58.5,45,0,FALSE,6,17,FALSE,0,0,-1.5,"Even matchup","VERY LOW","⚠️ Rest advantage","enhanced","SEA at JAX",NA,12,20,-8,"SEA",32,FALSE,"JAX",FALSE,9,81,9,1,8,FALSE,FALSE,TRUE,TRUE
6,"LAC at MIA","MIA","LAC",0,0,0,0,0,2.5,59,45,0,FALSE,13,14,FALSE,0,0,0,"Even matchup","LOW","","enhanced","LAC at MIA",NA,27,29,-2,"LAC",56,FALSE,"MIA",FALSE,4.5,20.25,4.5,2.5,2,TRUE,FALSE,TRUE,TRUE
6,"NE at NO","NO","NE",0,0,0,0,0,2.5,53,45,0,FALSE,7,7,FALSE,0,0,0,"Even matchup","LOW","","enhanced","NE at NO",NA,19,25,-6,"NE",44,FALSE,"NO",FALSE,8.5,72.25,8.5,2.5,6,TRUE,FALSE,TRUE,TRUE
6,"CLE at PIT","PIT","CLE",0,0,0,0,0,2.5,64,45,0,FALSE,14,14,FALSE,0,0,0,"Even matchup","LOW","","enhanced","CLE at PIT",NA,23,9,14,"PIT",32,TRUE,"PIT",TRUE,11.5,132.25,-11.5,2.5,14,FALSE,TRUE,TRUE,TRUE
6,"TEN at LV","LV","TEN",0,0,0,0,0,4,55.5,45,0,FALSE,14,7,FALSE,0,0,1.5,"Even matchup","MEDIUM","⚠️ Rest advantage","enhanced","TEN at LV",NA,20,10,10,"LV",30,TRUE,"LV",TRUE,6,36,-6,4,10,FALSE,FALSE,TRUE,TRUE
6,"CIN at GB","GB","CIN",0,0,0,0,0,4,60,45,0,FALSE,31,13,FALSE,0,0,1.5,"Even matchup","MEDIUM","⚠️ Rest advantage","enhanced","CIN at GB",NA,27,18,9,"GB",45,TRUE,"GB",TRUE,5,25,-5,4,9,FALSE,FALSE,TRUE,TRUE
6,"SF at TB","TB","SF",0,0,0,0,0,4,56.5,45,0,FALSE,14,10,FALSE,0,0,1.5,"Even matchup","MEDIUM","⚠️ Rest advantage","enhanced","SF at TB",NA,30,19,11,"TB",49,TRUE,"TB",TRUE,7,49,-7,4,11,FALSE,FALSE,TRUE,TRUE
6,"DET at KC","KC","DET",0,0,0,0,0,4,55.5,45,0,FALSE,14,7,FALSE,0,0,1.5,"Even matchup","MEDIUM","⚠️ Rest advantage","enhanced","DET at KC",NA,30,17,13,"KC",47,TRUE,"KC",TRUE,9,81,-9,4,13,FALSE,FALSE,TRUE,TRUE
6,"BUF at ATL","ATL","BUF",0,0,0,0,0,1,59.5,45,0,TRUE,15,29,FALSE,0,0,-1.5,"Even matchup","VERY LOW","⚠️ Rest advantage","enhanced","BUF at ATL",NA,24,14,10,"ATL",38,TRUE,"ATL",TRUE,9,81,-9,1,10,FALSE,FALSE,TRUE,TRUE
6,"CHI at WAS","WAS","CHI",0,0,0,0,0,4,58.5,45,0,FALSE,22,15,FALSE,0,0,1.5,"Even matchup","MEDIUM","⚠️ Rest advantage","enhanced","CHI at WAS",NA,24,25,-1,"CHI",49,FALSE,"WAS",FALSE,5,25,5,4,1,TRUE,FALSE,TRUE,TRUE
9,"BAL at MIA","MIA","BAL",0,0,0,0,0,1,55.5,45,0,FALSE,18,32,TRUE,0,0,-1.5,"Even matchup","VERY LOW","⚠️ Thursday game (short rest)","enhanced","BAL at MIA",NA,6,28,-22,"BAL",34,FALSE,"MIA",FALSE,23,529,23,1,22,FALSE,TRUE,TRUE,TRUE
9,"CHI at CIN","CIN","CHI",0,0,0,0,0,2.5,69.5,45,0,FALSE,7,7,FALSE,0,0,0,"Even matchup","LOW","","enhanced","CHI at CIN",NA,42,47,-5,"CHI",89,FALSE,"CIN",FALSE,7.5,56.25,7.5,2.5,5,TRUE,FALSE,TRUE,TRUE
9,"MIN at DET","DET","MIN",0,0,0,0,0,3,57,45,0,FALSE,13,10,FALSE,0,0,0.5,"Even matchup","LOW","","enhanced","MIN at DET",NA,24,27,-3,"MIN",51,FALSE,"DET",FALSE,6,36,6,3,3,TRUE,FALSE,TRUE,TRUE
9,"CAR at GB","GB","CAR",0,0,0,0,0,4,58,45,0,FALSE,21,14,FALSE,0,0,1.5,"Even matchup","MEDIUM","⚠️ Rest advantage","enhanced","CAR at GB",NA,13,16,-3,"CAR",29,FALSE,"GB",FALSE,7,49,7,4,3,TRUE,FALSE,TRUE,TRUE
9,"DEN at HOU","HOU","DEN",0,0,0,0,0,1,65.5,45,0,FALSE,7,21,FALSE,0,0,-1.5,"Even matchup","VERY LOW","⚠️ Rest advantage","enhanced","DEN at HOU",NA,15,18,-3,"DEN",33,FALSE,"HOU",FALSE,4,16,4,1,3,TRUE,FALSE,TRUE,TRUE
9,"ATL at NE","NE","ATL",0,0,0,0,0,1,59,45,0,FALSE,7,14,FALSE,0,0,-1.5,"Even matchup","VERY LOW","⚠️ Rest advantage","enhanced","ATL at NE",NA,24,23,1,"NE",47,TRUE,"NE",TRUE,0,0,0,1,1,TRUE,FALSE,TRUE,TRUE
9,"SF at NYG","NYG","SF",0,0,0,0,0,4,56,45,0,FALSE,24,7,FALSE,0,0,1.5,"Even matchup","MEDIUM","⚠️ Rest advantage","enhanced","SF at NYG",NA,24,34,-10,"SF",58,FALSE,"NYG",FALSE,14,196,14,4,10,FALSE,FALSE,TRUE,TRUE
9,"IND at PIT","PIT","IND",0,0,0,0,0,1,65,45,0,FALSE,7,14,FALSE,0,0,-1.5,"Even matchup","VERY LOW","⚠️ Rest advantage","enhanced","IND at PIT",NA,27,20,7,"PIT",47,TRUE,"PIT",TRUE,6,36,-6,1,7,FALSE,FALSE,TRUE,TRUE
9,"LAC at TEN","TEN","LAC",0,0,0,0,0,1,53.5,45,0,FALSE,14,21,FALSE,0,0,-1.5,"Even matchup","VERY LOW","⚠️ Rest advantage","enhanced","LAC at TEN",NA,20,27,-7,"LAC",47,FALSE,"TEN",FALSE,8,64,8,1,7,FALSE,FALSE,TRUE,TRUE
9,"NO at LA","LA","NO",0,0,0,0,0,4,55.5,45,0,FALSE,31,14,FALSE,0,0,1.5,"Even matchup","MEDIUM","⚠️ Rest advantage","enhanced","NO at LA",NA,34,10,24,"LA",44,TRUE,"LA",TRUE,20,400,-20,4,24,FALSE,TRUE,TRUE,TRUE
9,"JAX at LV","LV","JAX",0,0,0,0,0,1,66.5,45,0,FALSE,21,35,FALSE,0,0,-1.5,"Even matchup","VERY LOW","⚠️ Rest advantage","enhanced","JAX at LV",NA,29,30,-1,"JAX",59,FALSE,"LV",FALSE,2,4,2,1,1,TRUE,FALSE,TRUE,TRUE
9,"KC at BUF","BUF","KC",0,0,0,0,0,2.5,60,45,0,FALSE,28,27,FALSE,0,0,0,"Even matchup","LOW","","enhanced","KC at BUF",NA,28,21,7,"BUF",49,TRUE,"BUF",TRUE,4.5,20.25,-4.5,2.5,7,FALSE,FALSE,TRUE,TRUE
9,"SEA at WAS","WAS","SEA",0,0,0,0,0,2.5,54,45,0,FALSE,20,21,FALSE,0,0,0,"Even matchup","LOW","","enhanced","SEA at WAS",NA,14,38,-24,"SEA",52,FALSE,"WAS",FALSE,26.5,702.25,26.5,2.5,24,FALSE,TRUE,TRUE,TRUE
9,"ARI at DAL","DAL","ARI",0,0,0,0,0,1,63,45,0,TRUE,15,22,FALSE,0,0,-1.5,"Even matchup","VERY LOW","⚠️ Rest advantage","enhanced","ARI at DAL",NA,17,27,-10,"ARI",44,FALSE,"DAL",FALSE,11,121,11,1,10,FALSE,FALSE,TRUE,TRUE
