"season","week","defense_team","def_total_plays","def_avg_yards_per_play","def_avg_epa_per_play","def_success_rate_allowed","def_sacks","def_stuff_rate","def_turnovers_forced","def_turnover_rate","def_explosive_rate_allowed","def_third_down_stops","def_third_down_rate","def_red_zone_tds_allowed","def_red_zone_stops","def_red_zone_td_rate","def_roll3_epa","def_roll3_success_rate","def_roll3_third_down","composite_epa_allowed","def_epa_rank","def_success_rank","def_turnover_rank","def_third_down_rank"
2025,6,"ARI",56,6.375,0.149323539894745,0.535714285714286,1,0.232142857142857,1,0.0178571428571429,0.142857142857143,4,0.5,4,9,0.307692307692308,0.0661357172747832,0.468188914910226,0.56043956043956,0.149323539894745,23,27,11,27.5
2025,6,"ATL",54,5.38888888888889,-0.118884553370191,0.462962962962963,4,0.37037037037037,2,0.037037037037037,0.0740740740740741,7,0.777777777777778,2,2,0.5,0.0185356116486568,0.484509666899604,0.793350168350168,-0.118884553370191,6,16,5,5
2025,6,"BAL",49,4.95918367346939,-0.0331867793169627,0.469387755102041,2,0.326530612244898,1,0.0204081632653061,0.122448979591837,6,0.6,2,9,0.181818181818182,0.185468311128232,0.50242218099361,0.565800865800866,-0.0331867793169627,11,19,7,15
2025,6,"BUF",65,6.83076923076923,0.0667959427191861,0.476923076923077,2,0.353846153846154,0,0,0.153846153846154,7,0.583333333333333,1,8,0.111111111111111,0.0247237804844749,0.453346653346653,0.598484848484849,0.0667959427191861,16,20,23,19
2025,6,"CAR",52,5.63461538461539,0.179611804286581,0.403846153846154,0,0.346153846153846,0,0,0.0576923076923077,7,0.583333333333333,2,12,0.142857142857143,0.223861498754673,0.393647123682227,0.607905982905983,0.179611804286581,25,9,23,19
2025,6,"CHI",58,5.68965517241379,-0.0292835209425597,0.448275862068966,3,0.258620689655172,3,0.0517241379310345,0.103448275862069,5,0.625,1,1,0.5,-0.0838200454503178,0.491189993238675,0.700757575757576,-0.0292835209425597,12,13,2.5,11.5
2025,6,"CIN",59,6.93220338983051,0.208029896680662,0.576271186440678,1,0.220338983050847,1,0.0169491525423729,0.169491525423729,6,0.545454545454545,3,3,0.5,0.225833088417389,0.538700163142625,0.548118548118548,0.208029896680662,26,29,12,24.5
2025,6,"CLE",55,6.09090909090909,0.130154111870845,0.418181818181818,0,0.290909090909091,0,0,0.181818181818182,7,0.583333333333333,1,1,0.5,0.0368567831690255,0.434265734265734,0.607142857142857,0.130154111870845,22,10,23,19
2025,6,"DAL",61,6.77049180327869,0.282718423503993,0.590163934426229,1,0.163934426229508,0,0,0.147540983606557,5,0.625,2,6,0.25,0.20671116292829,0.543262782523923,0.498397435897436,0.282718423503993,30,30,23,11.5
2025,6,"DEN",57,1.43859649122807,-0.420661467797319,0.245614035087719,9,0.421052631578947,0,0,0,13,0.866666666666667,0,2,0,-0.224621702994012,0.330548593706488,0.834343434343434,-0.420661467797319,1,1,23,3
2025,6,"DET",58,6.17241379310345,0.267526656533969,0.551724137931034,3,0.206896551724138,0,0,0.103448275862069,5,0.555555555555556,4,12,0.25,-0.0815894938660863,0.41216096995362,0.659211159211159,0.267526656533969,29,28,23,23
2025,6,"GB",61,4.42622950819672,0.0929051832784652,0.491803278688525,1,0.344262295081967,0,0,0.0163934426229508,8,0.571428571428571,2,8,0.2,0.0907334794600598,0.440990703285785,0.621245421245421,0.0929051832784652,17,23,23,21
2025,6,"IND",69,5.73913043478261,0.101198903208959,0.478260869565217,2,0.376811594202899,1,0.0144927536231884,0.130434782608696,5,0.357142857142857,3,15,0.166666666666667,-0.0292601292047656,0.494918125352908,0.495115995115995,0.101198903208959,19,21,15,29
2025,6,"JAX",50,6.6,0.0325823573461297,0.38,1,0.42,0,0,0.1,10,0.909090909090909,1,9,0.1,0.085016338281434,0.498858530661809,0.579383579383579,0.0325823573461297,15,6,23,1
2025,6,"KC",53,5.60377358490566,0.112325160200752,0.528301886792453,1,0.169811320754717,0,0,0.0943396226415094,6,0.545454545454545,1,6,0.142857142857143,0.0256279311203916,0.486683836572849,0.563299663299663,0.112325160200752,21,25,23,24.5
2025,6,"LA",73,3.95890410958904,-0.329270453905449,0.397260273972603,4,0.328767123287671,3,0.0410958904109589,0.0821917808219178,10,0.588235294117647,0,11,0,-0.117459727117406,0.452087767386007,0.622004357298475,-0.329270453905449,2,8,4,17
