"matchup_key","ev_tier","edge","vegas_line","model_line","bet_recommendation","confidence","sportsbook","game_date"
"ARI at SEA","🔥 ELITE",16.187659781894,-6.5,9.68765978189399,"BET SEA -6.5 (-120)","HIGH","DraftKings","2025-11-09T21:05:00Z"
"CLE at NYJ","🔥 ELITE",15.528844076856,1.5,17.028844076856,"BET NYJ +1.5 (-105)","VERY HIGH","DraftKings","2025-11-09T18:00:00Z"
"NYG at CHI","🔥 ELITE",13.0595508654038,-4.5,8.55955086540382,"BET CHI -4.5 (-110)","HIGH","DraftKings","2025-11-09T18:00:00Z"
"NO at CAR","🔥 ELITE",11.998573359821,-5.5,6.49857335982096,"BET CAR -5.5 (-108)","MEDIUM","DraftKings","2025-11-09T18:00:00Z"
"BUF at MIA","🔥 ELITE",-11.2214712985196,9.5,-1.72147129851963,"BET BUF -9.5 (-112)","VERY LOW","DraftKings","2025-11-09T18:00:00Z"
"PIT at LAC","🔥 ELITE",6.62936478070861,-3,3.62936478070861,"BET LAC -3.0 (-105)","LOW","DraftKings","2025-11-10T01:20:00Z"
"JAX at HOU","🔥 ELITE",-6.38700662322195,1.5,-4.88700662322195,"BET JAX -1.5 (+100)","MEDIUM","DraftKings","2025-11-09T18:00:00Z"
"NE at TB","⭐ STRONG",-4.68640554521466,-2.5,-7.18640554521466,"BET NE +2.5 (-110)","HIGH","DraftKings","2025-11-09T18:00:00Z"
"ATL at IND","⭐ STRONG",4.52347324049508,-6.5,-1.97652675950492,"BET IND -6.5 (-108)","VERY LOW","DraftKings","2025-11-09T14:30:00Z"
"PHI at GB","⭐ STRONG",-3.98904317017425,-1.5,-5.48904317017425,"BET PHI +1.5 (-112)","MEDIUM","DraftKings","2025-11-11T01:15:00Z"
"BAL at MIN","✓ GOOD",-2.96880391221143,3.5,0.531196087788566,"BET BAL -3.5 (-115)","VERY LOW","DraftKings","2025-11-09T18:00:00Z"
"DET at WAS","❌ PASS",-0.0770664682138396,8.5,8.42293353178616,"NO BET","HIGH","DraftKings","2025-11-09T21:25:00Z"
