"week","game","home_team","away_team","home_base_epa","away_base_epa","home_adjusted_epa","away_adjusted_epa","net_home_advantage","projected_margin","projected_total","estimated_pace","weather_impact","is_dome","home_days_rest","away_days_rest","is_thursday","total_weather_adj","total_injury_adj","total_rest_adj"
9,"BAL at MIA","MIA","BAL",0,0,0,0,0,1,45,55.5,0,FALSE,18,32,TRUE,0,0,-1.5
9,"CHI at CIN","CIN","CHI",0,0,0,0,0,2.5,45,69.5,0,FALSE,7,7,FALSE,0,0,0
9,"MIN at DET","DET","MIN",0,0,0,0,0,3,45,57,0,FALSE,13,10,FALSE,0,0,0.5
9,"CAR at GB","GB","CAR",0,0,0,0,0,4,45,58,0,FALSE,21,14,FALSE,0,0,1.5
9,"DEN at HOU","HOU","DEN",0,0,0,0,0,1,45,65.5,0,FALSE,7,21,FALSE,0,0,-1.5
9,"ATL at NE","NE","ATL",0,0,0,0,0,1,45,59,0,FALSE,7,14,FALSE,0,0,-1.5
9,"SF at NYG","NYG","SF",0,0,0,0,0,4,45,56,0,FALSE,24,7,FALSE,0,0,1.5
9,"IND at PIT","PIT","IND",0,0,0,0,0,1,45,65,0,FALSE,7,14,FALSE,0,0,-1.5
9,"LAC at TEN","TEN","LAC",0,0,0,0,0,1,45,53.5,0,FALSE,14,21,FALSE,0,0,-1.5
9,"NO at LA","LA","NO",0,0,0,0,0,4,45,55.5,0,FALSE,31,14,FALSE,0,0,1.5
9,"JAX at LV","LV","JAX",0,0,0,0,0,1,45,66.5,0,FALSE,21,35,FALSE,0,0,-1.5
9,"KC at BUF","BUF","KC",0,0,0,0,0,2.5,45,60,0,FALSE,28,27,FALSE,0,0,0
9,"SEA at WAS","WAS","SEA",0,0,0,0,0,2.5,45,54,0,FALSE,20,21,FALSE,0,0,0
9,"ARI at DAL","DAL","ARI",0,0,0,0,0,1,45,63,0,TRUE,15,22,FALSE,0,0,-1.5
