"matchup_key","away_team","home_team","gameday","predicted_margin","confidence_tier","away_off_roll3_epa","home_off_roll3_epa","away_def_roll3_def_epa","home_def_roll3_def_epa","weather_adj","rest_differential","travel_adj"
"NYJ @ NE","NYJ","NE","2025-11-13",-3.64064583924579,"Low",-0.0816277178972611,0.0620362433665328,-0.0121536874319497,-0.0954478489172586,0,0,0
"GB @ NYG","GB","NYG","2025-11-16",1.5424963366144,"Very Low",0.000937397216389621,0.0364212427414833,0.00888943766601596,0.223275942434044,0,1,-0.5
"CIN @ PIT","CIN","PIT","2025-11-16",-2.5901091538331,"Very Low",0.267825985785871,-0.128044245118656,0.346137939550768,0.0179844165162658,0,-7,0
"HOU @ TEN","HOU","TEN","2025-11-16",0.229365640110687,"Very Low",0.0231206953097468,-0.162026956928385,-0.137701981104284,0.202254922933678,0,7,0
"BAL @ CLE","BAL","CLE","2025-11-16",-2.18371441242295,"Very Low",0.139299279701548,-0.24358820461268,-0.0470578453757486,-0.244869940895267,0,0,0
"DAL @ LV","DAL","LV","2025-11-17",1.78817942218996,"Very Low",0.0427586296861562,-0.27529587147105,0.047308271651964,0.00766068916583341,0,-3,-0.5
"TB @ BUF","TB","BUF","2025-11-16",0.342338615674071,"Very Low",-0.145092423252702,0.160205702407724,-0.167016159206076,0.0291095349125926,0,0,-0.5
"CAR @ ATL","CAR","ATL","2025-11-16",-1.54208865254285,"Very Low",-0.179554338557882,-0.0913718017116399,0.154834966269843,0.110222484979342,0,0,0
"LAC @ JAX","LAC","JAX","2025-11-16",1.49933505484166,"Very Low",0.0169781238223149,-0.0668941603542959,-0.308076213570849,0.0788783114296234,0,0,-1
"WAS @ MIA","WAS","MIA","2025-11-16",-1.82013534496757,"Very Low",0.0164664037408775,0.113644044138626,0.37499643375865,-0.0425765207787019,0,0,-0.5
"KC @ DEN","KC","DEN","2025-11-16",0.309353388457252,"Very Low",0.182422580992364,-0.0605294029962758,-0.164253126889014,-0.172146946429041,0,-4,0
"CHI @ MIN","CHI","MIN","2025-11-16",-0.777910872779054,"Very Low",0.151192799494901,-0.187013983429255,0.150683989631176,-0.0166842056807917,0,0,0
"DET @ PHI","DET","PHI","2025-11-16",-1.05618575924218,"Very Low",0.0911492666293774,0.154645197950223,-0.0911382175342586,-0.0223213108362333,0,-1,0
"SEA @ LA","SEA","LA","2025-11-16",-0.236856170081855,"Very Low",0.0880896143420159,0.231377857974774,-0.158977546651883,-0.110476696725232,0,0,-0.5
"SF @ ARI","SF","ARI","2025-11-16",-4.19913909073061,"Low",0.121172013989693,-0.0907187162643289,0.20164792366984,0.0235224385358418,0,0,0
