"season","week","defense_team","def_total_plays","def_avg_yards_per_play","def_avg_epa_per_play","def_success_rate_allowed","def_sacks","def_stuff_rate","def_turnovers_forced","def_turnover_rate","def_explosive_rate_allowed","def_third_down_stops","def_third_down_rate","def_red_zone_tds_allowed","def_red_zone_stops","def_red_zone_td_rate","def_roll3_epa","def_roll3_success_rate","def_roll3_third_down","composite_epa_allowed","def_epa_rank","def_success_rank","def_turnover_rank","def_third_down_rank"
2025,5,"ARI",61,5.49180327868852,-0.04018438898961,0.442622950819672,2,0.377049180327869,2,0.0327868852459016,0.0983606557377049,9,0.642857142857143,2,2,0.5,0.00663424643753163,0.467778405879028,0.66043956043956,-0.04018438898961,7,8,8,9
2025,5,"BAL",60,5.9,0.325243124661281,0.583333333333333,2,0.183333333333333,0,0,0.0833333333333333,5,0.454545454545455,4,8,0.333333333333333,0.309288342936499,0.538667929292929,0.532467532467532,0.325243124661281,25,26,23.5,21
2025,5,"BUF",55,6.09090909090909,0.0367698728864048,0.454545454545455,4,0.345454545454545,1,0.0181818181818182,0.0909090909090909,6,0.666666666666667,2,9,0.181818181818182,0.0203058379786489,0.429965514711277,0.515151515151515,0.0367698728864048,12,10,14,6.5
2025,5,"CAR",53,4.67924528301887,0.095273431587789,0.358490566037736,3,0.39622641509434,0,0,0.0566037735849057,8,0.615384615384615,2,8,0.2,0.0832221097190824,0.382108662143765,0.618589743589744,0.095273431587789,17,1,23.5,12
2025,5,"CIN",57,6.3859649122807,0.229853172576169,0.526315789473684,4,0.210526315789474,1,0.0175438596491228,0.087719298245614,5,0.714285714285714,5,9,0.357142857142857,0.216842821686825,0.526096947149579,0.578421578421578,0.229853172576169,22,23,15,3
2025,5,"CLE",58,6.05172413793103,0.130434715945429,0.5,3,0.258620689655172,1,0.0172413793103448,0.120689655172414,6,0.666666666666667,2,4,0.333333333333333,-0.0325918727797111,0.419165580182529,0.560846560846561,0.130434715945429,19,19,16,6.5
2025,5,"DAL",71,5.25352112676056,0.0209884846612355,0.492957746478873,5,0.28169014084507,1,0.0140845070422535,0.112676056338028,9,0.5625,2,12,0.142857142857143,0.209753955096562,0.507035298209007,0.432921245421245,0.0209884846612355,11,18,18,15
2025,5,"DEN",54,5.61111111111111,0.00316122240578864,0.388888888888889,6,0.444444444444444,0,0,0.0925925925925926,9,0.818181818181818,1,3,0.25,-0.10961179284481,0.379478936440962,0.732954545454546,0.00316122240578864,9,4,23.5,1
2025,5,"DET",57,5.45614035087719,-0.149252425202492,0.403508771929825,2,0.368421052631579,3,0.0526315789473684,0.12280701754386,7,0.636363636363636,2,3,0.4,-0.154029417985222,0.382573911630929,0.625541125541126,-0.149252425202492,4,7,3,10
2025,5,"HOU",40,5.175,-0.335742803858894,0.375,1,0.3,3,0.075,0.05,5,0.625,1,4,0.2,-0.279616119355778,0.359188034188034,0.72550505050505,-0.335742803858894,1,2,1,11
2025,5,"IND",63,4.52380952380952,-0.264383179322792,0.476190476190476,4,0.317460317460317,2,0.0317460317460317,0.0634920634920635,6,0.461538461538462,0,14,0,-0.120478301316792,0.484215784215784,0.59035409035409,-0.264383179322792,3,14,11.5,20
2025,5,"JAX",61,7.77049180327869,0.236831848863627,0.672131147540984,0,0.245901639344262,1,0.0163934426229508,0.147540983606557,4,0.444444444444444,5,8,0.384615384615385,-0.0112245943110317,0.475222167025446,0.538258038258038,0.236831848863627,23,28,17,23
2025,5,"KC",52,6.03846153846154,0.0416369823101597,0.480769230769231,3,0.269230769230769,2,0.0384615384615385,0.134615384615385,4,0.444444444444444,3,11,0.214285714285714,-0.0838786435689257,0.44052671046689,0.681481481481481,0.0416369823101597,13,15,5,23
2025,5,"LA",81,4.8641975308642,0.0996798970202657,0.506172839506173,1,0.296296296296296,0,0,0.0123456790123457,11,0.611111111111111,2,10,0.166666666666667,0.00346970930289121,0.459452622298365,0.64021164021164,0.0996798970202657,18,20,23.5,13
