"week","game","home_team","away_team","home_base_epa","away_base_epa","home_adjusted_epa","away_adjusted_epa","net_home_advantage","projected_margin","projected_total","estimated_pace","weather_impact","is_dome","home_days_rest","away_days_rest","is_thursday","total_weather_adj","total_injury_adj","total_rest_adj","third_down_rate_home","red_zone_td_rate_home","plays_per_game_home","third_down_rate_away","red_zone_td_rate_away","plays_per_game_away","def_third_down_rate_home_def","def_red_zone_td_rate_home_def","def_third_down_rate_away_def","def_red_zone_td_rate_away_def"
10,"LV at DEN","DEN","LV",0,0,0,0,0,1,45,55,0,FALSE,11,18,TRUE,0,0,-1.5,0.333333333333333,0.166666666666667,55,0.266666666666667,0.333333333333333,55,0.733333333333333,0.333333333333333,0.666666666666667,0.166666666666667
10,"ATL at IND","IND","ATL",-0.167422167383958,0.23101294991637,-0.167422167383958,0.23101294991637,-0.398435117300328,-1.97652675950492,41.0156488269967,62.5,0,FALSE,14,7,FALSE,0,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"NO at CAR","CAR","NO",-0.196720139919544,-0.363291697240942,-0.196720139919544,-0.363291697240942,0.166571557321397,6.49857335982096,46.665715573214,46,0,FALSE,14,7,FALSE,0,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"NYG at CHI","CHI","NYG",0.121651357277375,-0.182318700416212,0.121651357277375,-0.182318700416212,0.303970057693588,8.55955086540382,48.0397005769359,65,0,FALSE,21,14,FALSE,0,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"JAX at HOU","HOU","JAX",-0.290321961777768,0.202145146437029,-0.290321961777768,0.202145146437029,-0.492467108214796,-4.88700662322195,40.075328917852,71.5,0,FALSE,7,7,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"BUF at MIA","MIA","BUF",-0.217067910223796,-0.0356364903224874,-0.217067910223796,-0.0356364903224874,-0.181431419901308,-1.72147129851963,43.1856858009869,61,0,FALSE,10,14,FALSE,0,0,-1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"BAL at MIN","MIN","BAL",0.0428342230184951,0.274087817165924,0.0428342230184951,0.274087817165924,-0.231253594147429,0.531196087788566,42.6874640585257,52,0,FALSE,21,10,FALSE,0,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"CLE at NYJ","NYJ","CLE",0.268698712691688,-0.599890892432047,0.268698712691688,-0.599890892432047,0.868589605123736,17.028844076856,53.6858960512374,60.5,0,FALSE,21,14,FALSE,0,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"NE at TB","TB","NE",-0.265572708470333,0.480187661210644,-0.265572708470333,0.480187661210644,-0.745760369680977,-7.18640554521466,37.5423963031902,60,0,FALSE,28,21,FALSE,0,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"ARI at SEA","SEA","ARI",0.536007331640185,0.156830012847253,0.536007331640185,0.156830012847253,0.379177318792933,9.68765978189399,48.7917731879293,55,0,FALSE,20,6,FALSE,0,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"LA at SF","SF","LA",0.644562535127466,0.146654470864852,0.644562535127466,0.146654470864852,0.497908064262614,9.9686209639392,49.9790806426261,65,0,FALSE,21,21,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"DET at WAS","WAS","DET",0.0587009630476468,-0.436161272404764,0.0587009630476468,-0.436161272404764,0.49486223545241,8.42293353178616,49.9486223545241,61.5,0,FALSE,7,28,FALSE,0,0,-1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"PIT at LAC","LAC","PIT",0.21613716100989,0.0408461756293164,0.21613716100989,0.0408461756293164,0.175290985380574,3.62936478070861,46.7529098538057,60.5,0,FALSE,17,24,FALSE,0,0,-1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"PHI at GB","GB","PHI",-0.0602236119590296,0.372379266052587,-0.0602236119590296,0.372379266052587,-0.432602878011616,-5.48904317017425,40.6739712198838,58.5,0,FALSE,8,22,FALSE,0,0,-1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
